Elukoht;isikute_arv_arvut;isikute_arv;vanus_0_14;vanus_15_64;vanus_65;Seisund_hoivatu;Seisund_oppur
1kmN6587E0544;1405;1405;195;976;234;735;44
1kmN6588E0531;1402;1402;337;955;110;758;74
1kmN6598E0729;1386;1386;148;793;445;582;45
1kmN6583E0545;1386;1386;517;819;50;670;39
1kmN6571E0611;1384;1384;181;806;397;634;45
1kmN6470E0658;1379;1379;281;836;262;675;66
1kmN6575E0530;1349;1349;264;848;237;681;94
1kmN6596E0548;1341;1341;391;858;92;665;84
1kmN6581E0535;1333;1333;241;831;261;708;72
1kmN6457E0410;1326;1326;214;838;274;688;66
1kmN6519E0582;1318;1318;155;728;435;560;57
1kmN6468E0592;1309;1309;209;748;352;616;62
1kmN6406E0622;1295;1295;181;767;347;553;70
1kmN6560E0620;1295;1295;201;803;291;522;83
1kmN6579E0634;1289;1289;221;768;300;592;58
1kmN6439E0681;1282;1282;237;824;221;615;72
1kmN6406E0621;1278;1278;190;801;287;580;69
1kmN6580E0621;1271;1271;221;797;253;626;61
1kmN6474E0657;1259;1259;251;737;271;618;86
1kmN6475E0658;1258;1258;333;784;141;592;105
1kmN6574E0522;1229;1229;331;810;88;648;88
1kmN6580E0552;1224;1224;269;786;169;641;65
1kmN6574E0547;1209;1209;290;794;125;632;83
1kmN6598E0546;1202;1202;347;754;101;581;96
1kmN6598E0641;1199;1199;177;739;283;570;41
1kmN6587E0543;1191;1191;182;832;177;676;45
1kmN6473E0528;1186;1186;218;718;250;573;56
1kmN6581E0695;1180;1180;176;748;256;516;66
1kmN6587E0535;1177;1177;281;832;64;637;76
1kmN6520E0582;1168;1168;155;693;320;519;61
1kmN6584E0693;1167;1167;192;703;272;555;52
1kmN6473E0538;1135;1135;172;678;285;526;48
1kmN6577E0575;1132;1132;166;678;288;578;24
1kmN6577E0576;1132;1132;183;712;237;586;51
1kmN6540E0427;1115;1115;140;699;276;590;54
1kmN6581E0561;1111;1111;236;692;183;578;55
1kmN6528E0588;1093;1093;162;688;243;541;52
1kmN6586E0538;1092;1092;162;685;245;558;46
1kmN6593E0662;1068;1068;118;594;356;431;51
